Country Name,Country Code,"Unemployment, total (% of total labor force) (modeled ILO estimate)","School enrollment, secondary (% net)","School enrollment, primary (% net)","School enrollment, tertiary (% gross)",World Development Indicators,Access to electricity (% of population),GDP per capita (current US$),"Mortality rate, under-5 (per 1,000 live births)","Life expectancy at birth, total(years)",CO2 emissions (metric tons per capita),"Annual freshwater withdrawals, total (% of internal resources)",Rail lines (total route-km),Net migration,Democracy index
Madagascar,MDG,"1,8","30,1479",,"4,761650085","3,993146064","22,9","464,616158","16,4","77,653","2,645681","0,886823",,485,"5,07"
Maldives,MDV,"5,77",,"96,2574",,"6,338300636",100,"9640,31919","49,7","64,84","0,737249","0,048951",,12191,
Middle East & North Africa,MEA,"10,29552","71,8676","93,361","39,47315979","4,427929233","96,7856285","7158,04931","21,4","73,534","1,147765","2,062393",,-167117,
Mexico,MEX,"3,86","81,2228","95,6912","38,58977127","2,630532425","99,5","8875,08207","16,1","75,789","1,82638","1,985473",,33094,"6,47"
Marshall Islands,MHL,,"55,8524","73,1512",,"2,016095319","92,6724396","4153,11718","29,3","71,387","1,152751","18,1858",,-1901,
Middle income,MIC,"6,060324473","67,4213","90,1506","34,34939957","4,597403471","91,0155828","4690,37407","4,8","77,85121951","7,895752","19,1959",,-3217864,
North Macedonia,MKD,"24,3",,,,"2,848205194","99,9661179","5149,58676","3,7","81,12439024","4,716036","22,48842",683,-1164,"5,23"
Mali,MLI,"1,37","32,5374","56,9802","3,650790453","5,852299199","38,7969284","750,051809",..,"80,27",..,"12,32394",,-30294,"5,7"
Malta,MLT,"4,69","89,5555","98,4608","48,12607956","3,381115768",100,"25623,8556","7,4","80,433","33,54957","447,8571",,10239,"8,39"
Myanmar,MMR,"0,994","56,3164",,,"10,50778078","55,6","1161,86182","8,5","75,2097561","3,633348","15,04011",,-87935,"4,2"
Middle East & North Africa (excluding high income),MNA,"12,07614244","69,6325","92,7681","37,54159164","5,342988605","96,2611902","3832,82047","7,5","71,65121951","10,88743","1,502551",,-543722,
